Day Index,Users,Pageviews
2012-05-07,158,380
2012-06-07,129,370
2012-07-07,69,244
2012-08-07,87,297
2012-09-07,167,484
2012-10-07,125,389
2012-11-07,154,455
2012-12-07,142,650
2012-13-07,134,386
2012-14-07,81,118
2012-15-07,79,245
2012-16-07,175,462
2012-17-07,156,435
2012-18-07,208,432
2012-19-07,165,405
2012-20-07,154,460
2012-21-07,62,147
2012-22-07,90,167
2012-23-07,164,448
2012-24-07,160,423
2012-25-07,160,632
2012-26-07,174,494
2012-27-07,152,437
2012-28-07,54,151
2012-29-07,53,129
2012-30-07,130,443
2012-31-07,127,354
2012-01-08,117,305
2012-02-08,114,505
2012-03-08,109,270
2012-04-08,72,169
2012-05-08,83,227
2012-06-08,112,229
2012-07-08,108,445
2012-08-08,80,220
2012-09-08,112,358
2012-10-08,96,322
2012-11-08,40,67
2012-12-08,48,82
2012-13-08,106,252
2012-14-08,134,333
2012-15-08,96,222
2012-16-08,112,282
2012-17-08,97,418
2012-18-08,60,216
2012-19-08,70,136
2012-20-08,150,324
2012-21-08,150,362
2012-22-08,132,317
2012-23-08,124,303
2012-24-08,157,299
2012-25-08,55,111
2012-26-08,152,317
2012-27-08,217,596
2012-28-08,198,756
2012-29-08,179,407
2012-30-08,221,619
2012-31-08,135,332
2012-01-09,62,142
2012-02-09,73,190
2012-03-09,190,586
2012-04-09,172,403
2012-05-09,163,533
2012-06-09,186,465
2012-07-09,181,362
2012-08-09,61,103
2012-09-09,65,157
2012-10-09,190,451
2012-11-09,218,582
2012-12-09,245,736
2012-13-09,252,639
2012-14-09,257,895
2012-15-09,150,502
2012-16-09,175,534
2012-17-09,274,1050
2012-18-09,237,816
2012-19-09,221,593
2012-20-09,275,774
2012-21-09,221,1185
2012-22-09,111,399
2012-23-09,128,351
2012-24-09,300,1276
2012-25-09,280,1009
2012-26-09,281,804
2012-27-09,256,678
2012-28-09,218,617
2012-29-09,110,252
2012-30-09,117,301
2012-01-10,266,650
2012-02-10,239,672
2012-03-10,272,693
2012-04-10,310,1147
2012-05-10,245,963
2012-06-10,127,445
2012-07-10,149,562
2012-08-10,321,1093
2012-09-10,301,894
2012-10-10,325,1180
2012-11-10,307,615
2012-12-10,265,691
2012-13-10,142,574
2012-14-10,185,449
2012-15-10,333,803
2012-16-10,310,809
2012-17-10,306,856
2012-18-10,309,836
2012-19-10,272,710
2012-20-10,185,477
2012-21-10,184,497
2012-22-10,387,1047
2012-23-10,437,1048
2012-24-10,328,1101
2012-25-10,384,1023
2012-26-10,305,754
2012-27-10,137,431
2012-28-10,132,327
2012-29-10,309,1144
2012-30-10,257,863
2012-31-10,271,702
2012-01-11,159,347
2012-02-11,211,631
2012-03-11,149,399
2012-04-11,196,533
2012-05-11,318,834
2012-06-11,323,932
2012-07-11,381,1038
2012-08-11,259,554
2012-09-11,288,701
2012-10-11,243,732
2012-11-11,231,636
2012-12-11,394,1334
2012-13-11,349,1011
2012-14-11,487,1581
2012-15-11,477,1252
2012-16-11,412,1005
2012-17-11,247,706
2012-18-11,262,751
2012-19-11,563,1285
2012-20-11,529,1344
2012-21-11,328,987
2012-22-11,362,1105
2012-23-11,288,777
2012-24-11,150,433
2012-25-11,175,556
2012-26-11,357,1012
2012-27-11,390,1111
2012-28-11,389,1105
2012-29-11,372,1071
2012-30-11,343,1119
2012-01-12,172,505
2012-02-12,200,611
2012-03-12,407,1226
2012-04-12,388,1026
2012-05-12,351,1365
2012-06-12,361,910
2012-07-12,345,1156
2012-08-12,183,609
2012-09-12,204,568
2012-10-12,419,1281
2012-11-12,375,1200
2012-12-12,361,1129
2012-13-12,329,858
2012-14-12,304,770
2012-15-12,156,417
2012-16-12,212,602
2012-17-12,416,1346
2012-18-12,372,967
2012-19-12,349,1022
2012-20-12,328,1225
2012-21-12,249,858
2012-22-12,140,411
2012-23-12,108,253
2012-24-12,131,340
2012-25-12,74,171
2012-26-12,221,547
2012-27-12,238,645
2012-28-12,205,535
2012-29-12,135,302
2012-30-12,162,384
2012-31-12,158,375
2013-01-01,120,276
2013-02-01,294,701
2013-03-01,321,893
2013-04-01,329,880
2013-05-01,182,462
2013-06-01,182,530
2013-07-01,398,880
2013-08-01,417,1017
2013-09-01,447,919
2013-10-01,375,941
2013-11-01,337,803
2013-12-01,186,505
2013-13-01,192,436
2013-14-01,414,1030
2013-15-01,366,837
2013-16-01,356,912
2013-17-01,415,956
2013-18-01,339,865
2013-19-01,184,523
2013-20-01,220,590
2013-21-01,399,1036
2013-22-01,378,1186
2013-23-01,442,1362
2013-24-01,405,1070
2013-25-01,346,897
2013-26-01,195,470
2013-27-01,293,650
2013-28-01,486,1380
2013-29-01,414,1150
2013-30-01,399,1005
2013-31-01,403,1075
2013-01-02,360,1162
2013-02-02,221,583
2013-03-02,227,596
2013-04-02,478,1429
2013-05-02,486,1611
2013-06-02,460,1186
2013-07-02,455,1456
2013-08-02,383,1126
2013-09-02,197,662
2013-10-02,247,703
2013-11-02,522,1163
2013-12-02,462,1389
2013-13-02,416,1267
2013-14-02,501,1657
2013-15-02,537,1715
2013-16-02,253,690
2013-17-02,230,625
2013-18-02,444,1250
2013-19-02,438,1056
2013-20-02,419,1277
2013-21-02,387,878
2013-22-02,611,2016
2013-23-02,319,1057
2013-24-02,252,917
2013-25-02,478,1388
2013-26-02,405,978
2013-27-02,357,842
2013-28-02,408,1068
2013-01-03,352,914
2013-02-03,181,501
2013-03-03,288,756
2013-04-03,427,985
2013-05-03,487,1667
2013-06-03,386,1005
