date,users,pageviews
2012-07-06,0,370
2012-07-07,0,244
2012-07-08,0,297
2012-07-09,0,484
2012-07-10,0,389
2012-07-11,0,455
2012-07-12,0,650
2012-07-13,0,386
2012-07-14,0,118
2012-07-15,0,245
2012-07-16,0,462
2012-07-17,0,435
2012-07-18,0,432
2012-07-19,0,405
2012-07-20,0,460
2012-07-21,0,147
2012-07-22,0,167
2012-07-23,0,448
2012-07-24,0,423
2012-07-25,0,632
2012-07-26,0,494
2012-07-27,0,437
2012-07-28,0,151
2012-07-29,0,129
2012-07-30,0,443
2012-07-31,0,354
2012-08-01,0,305
2012-08-02,0,505
2012-08-03,0,270
2012-08-04,0,169
2012-08-05,0,227
2012-08-06,0,229
2012-08-07,0,445
2012-08-08,0,220
2012-08-09,0,358
2012-08-10,0,322
2012-08-11,0,67
2012-08-12,0,82
2012-08-13,0,252
2012-08-14,0,333
2012-08-15,0,222
2012-08-16,0,282
2012-08-17,0,418
2012-08-18,0,216
2012-08-19,0,136
2012-08-20,0,324
2012-08-21,0,362
2012-08-22,0,317
2012-08-23,0,303
2012-08-24,0,299
2012-08-25,0,111
2012-08-26,0,317
2012-08-27,0,596
2012-08-28,0,756
2012-08-29,0,407
2012-08-30,0,619
2012-08-31,0,332
2012-09-01,0,142
2012-09-02,0,190
2012-09-03,0,586
2012-09-04,0,403
2012-09-05,0,533
2012-09-06,0,465
2012-09-07,0,362
2012-09-08,0,103
2012-09-09,0,157
2012-09-10,0,451
2012-09-11,0,582
2012-09-12,0,736
2012-09-13,0,639
2012-09-14,0,895
2012-09-15,0,502
2012-09-16,0,534
2012-09-17,0,1050
2012-09-18,0,816
2012-09-19,0,593
2012-09-20,0,774
2012-09-21,0,1185
2012-09-22,0,399
2012-09-23,0,351
2012-09-24,0,1276
2012-09-25,0,1009
2012-09-26,0,804
2012-09-27,0,678
2012-09-28,0,617
2012-09-29,0,252
2012-09-30,0,301
2012-10-01,0,650
2012-10-02,0,672
2012-10-03,0,693
2012-10-04,0,1147
2012-10-05,0,963
2012-10-06,0,445
2012-10-07,0,562
2012-10-08,0,1093
2012-10-09,0,894
2012-10-10,0,1180
2012-10-11,0,615
2012-10-12,0,691
2012-10-13,0,574
2012-10-14,0,449
2012-10-15,0,803
2012-10-16,0,809
2012-10-17,0,856
2012-10-18,0,836
2012-10-19,0,710
2012-10-20,0,477
2012-10-21,0,497
2012-10-22,0,1047
2012-10-23,0,1048
2012-10-24,0,1101
2012-10-25,0,1023
2012-10-26,0,754
2012-10-27,0,431
2012-10-28,0,327
2012-10-29,0,1144
2012-10-30,0,863
2012-10-31,0,702
2012-11-01,0,347
2012-11-02,0,631
2012-11-03,0,399
2012-11-04,0,533
2012-11-05,0,834
2012-11-06,0,932
2012-11-07,0,1038
2012-11-08,0,554
2012-11-09,0,701
2012-11-10,0,732
2012-11-11,0,636
2012-11-12,0,1334
2012-11-13,0,1011
2012-11-14,0,1581
2012-11-15,0,1252
2012-11-16,0,1005
2012-11-17,0,706
2012-11-18,0,751
2012-11-19,0,1285
2012-11-20,0,1344
2012-11-21,0,987
2012-11-22,0,1105
2012-11-23,0,777
2012-11-24,0,433
2012-11-25,0,556
2012-11-26,0,1012
2012-11-27,0,1111
2012-11-28,0,1105
2012-11-29,0,1071
2012-11-30,0,1119
2012-12-01,0,505
2012-12-02,0,611
2012-12-03,0,1226
2012-12-04,0,1026
2012-12-05,0,1365
2012-12-06,0,910
2012-12-07,0,1156
2012-12-08,0,609
2012-12-09,0,568
2012-12-10,0,1281
2012-12-11,0,1200
2012-12-12,0,1129
2012-12-13,0,858
2012-12-14,0,770
2012-12-15,0,417
2012-12-16,0,602
2012-12-17,0,1346
2012-12-18,0,967
2012-12-19,0,1022
2012-12-20,0,1225
2012-12-21,0,858
2012-12-22,0,411
2012-12-23,0,253
2012-12-24,0,340
2012-12-25,0,171
2012-12-26,0,547
2012-12-27,0,645
2012-12-28,0,535
2012-12-29,0,302
2012-12-30,0,384
2012-12-31,0,375
2013-01-01,0,276
2013-01-02,0,701
2013-01-03,0,893
2013-01-04,0,880
2013-01-05,0,462
2013-01-06,0,530
2013-01-07,0,880
2013-01-08,0,1017
2013-01-09,0,919
2013-01-10,0,941
2013-01-11,0,803
2013-01-12,0,505
2013-01-13,0,436
2013-01-14,0,1030
2013-01-15,0,837
2013-01-16,0,912
2013-01-17,0,956
2013-01-18,0,865
2013-01-19,0,523
2013-01-20,0,590
2013-01-21,0,1036
2013-01-22,0,1186
2013-01-23,0,1362
2013-01-24,0,1070
2013-01-25,0,897
2013-01-26,0,470
2013-01-27,0,650
2013-01-28,0,1380
2013-01-29,0,1150
2013-01-30,0,1005
2013-01-31,0,1075
2013-02-01,0,1162
2013-02-02,0,583
2013-02-03,0,596
2013-02-04,0,1429
2013-02-05,0,1611
2013-02-06,0,1186
2013-02-07,0,1456
2013-02-08,0,1126
2013-02-09,0,662
2013-02-10,0,703
2013-02-11,0,1163
2013-02-12,0,1389
2013-02-13,0,1267
2013-02-14,0,1657
2013-02-15,0,1715
2013-02-16,0,690
2013-02-17,0,625
2013-02-18,0,1250
2013-02-19,0,1056
2013-02-20,0,1277
2013-02-21,0,878
2013-02-22,0,2016
2013-02-23,0,1057
2013-02-24,0,917
2013-02-25,0,1388
2013-02-26,0,978
2013-02-27,0,842
2013-02-28,0,1068
2013-03-01,0,914
2013-03-02,0,501
2013-03-03,0,756
2013-03-04,0,985
2013-03-05,0,1667
2013-03-06,0,1005
2013-03-07,0,2905
2013-03-08,0,1069
2013-03-09,0,576
2013-03-10,0,649
2013-03-11,0,1207
2013-03-12,0,1200
2013-03-13,0,901
2013-03-14,0,873
2013-03-15,0,950
2013-03-16,0,645
2013-03-17,0,775
2013-03-18,0,983
2013-03-19,0,1167
2013-03-20,0,1253
2013-03-21,0,1138
2013-03-22,0,886
2013-03-23,0,491
2013-03-24,0,620
2013-03-25,0,1258
2013-03-26,0,3379
2013-03-27,0,1568
2013-03-28,0,1373
2013-03-29,0,1279
2013-03-30,0,539
2013-03-31,0,516
2013-04-01,0,620
2013-04-02,0,1991
2013-04-03,0,1364
2013-04-04,0,2607
2013-04-05,0,1982
2013-04-06,0,885
2013-04-07,0,819
2013-04-08,0,771
2013-04-09,0,1657
2013-04-10,0,1476
2013-04-11,0,1675
2013-04-12,0,1203
2013-04-13,0,754
2013-04-14,0,550
2013-04-15,0,2763
2013-04-16,0,1142
2013-04-17,0,1115
2013-04-18,0,941
2013-04-19,0,1046
2013-04-20,0,402
2013-04-21,0,473
2013-04-22,0,1336
2013-04-23,0,1081
2013-04-24,0,1113
2013-04-25,0,937
2013-04-26,0,755
2013-04-27,0,513
2013-04-28,0,380
2013-04-29,0,1042
2013-04-30,0,802
2013-05-01,0,487
2013-05-02,0,706
2013-05-03,0,776
2013-05-04,0,362
2013-05-05,0,208
2013-05-06,0,1078
2013-05-07,0,852
2013-05-08,0,378
2013-05-09,0,327
2013-05-10,0,399
2013-05-11,0,224
2013-05-12,0,446
2013-05-13,0,846
2013-05-14,0,1093
2013-05-15,0,1075
2013-05-16,0,819
2013-05-17,0,657
2013-05-18,0,410
2013-05-19,0,385
2013-05-20,0,524
2013-05-21,0,983
2013-05-22,0,1002
2013-05-23,0,1068
2013-05-24,0,842
2013-05-25,0,418
2013-05-26,0,376
2013-05-27,0,975
2013-05-28,0,1064
2013-05-29,0,1080
2013-05-30,0,1113
2013-05-31,0,976
2013-06-01,0,368
2013-06-02,0,374
2013-06-03,0,1270
2013-06-04,0,1250
2013-06-05,0,963
2013-06-06,0,1270
2013-06-07,0,852
2013-06-08,0,369
2013-06-09,0,402
2013-06-10,0,1028
2013-06-11,0,1199
2013-06-12,0,1213
2013-06-13,0,988
2013-06-14,0,788
2013-06-15,0,390
2013-06-16,0,390
2013-06-17,0,1002
2013-06-18,0,1221
2013-06-19,0,1346
2013-06-20,0,1208
2013-06-21,0,727
2013-06-22,0,447
2013-06-23,0,540
2013-06-24,0,1483
2013-06-25,0,1304
2013-06-26,0,972
2013-06-27,0,836
2013-06-28,0,736
2013-06-29,0,317
2013-06-30,0,348
2013-07-01,0,952
2013-07-02,0,925
2013-07-03,0,940
2013-07-04,0,799
2013-07-05,0,668
2013-07-06,0,286
2013-07-07,0,311
2013-07-08,0,761
2013-07-09,0,743
2013-07-10,0,1406
2013-07-11,0,1256
2013-07-12,0,899
2013-07-13,0,214
2013-07-14,0,268
2013-07-15,0,1103
2013-07-16,0,1092
2013-07-17,0,892
2013-07-18,0,813
2013-07-19,0,860
2013-07-20,0,199
2013-07-21,0,324
2013-07-22,0,698
2013-07-23,0,1081
2013-07-24,0,997
2013-07-25,0,902
2013-07-26,0,818
2013-07-27,0,273
2013-07-28,0,339
2013-07-29,0,883
2013-07-30,0,633
2013-07-31,0,691
2013-08-01,0,553
2013-08-02,0,465
2013-08-03,0,245
2013-08-04,0,186
2013-08-05,0,550
2013-08-06,0,561
2013-08-07,0,519
2013-08-08,0,470
2013-08-09,0,507
2013-08-10,0,183
2013-08-11,0,201
2013-08-12,0,651
2013-08-13,0,436
2013-08-14,0,380
2013-08-15,0,355
2013-08-16,0,264
2013-08-17,0,198
2013-08-18,0,245
2013-08-19,0,592
2013-08-20,0,666
2013-08-21,0,479
2013-08-22,0,669
2013-08-23,0,390
2013-08-24,0,256
2013-08-25,0,251
2013-08-26,0,855
2013-08-27,0,633
2013-08-28,0,920
2013-08-29,0,646
2013-08-30,0,557
2013-08-31,0,226
2013-09-01,0,277
2013-09-02,0,760
2013-09-03,0,803
2013-09-04,0,599
2013-09-05,0,844
2013-09-06,0,766
2013-09-07,0,293
2013-09-08,0,285
2013-09-09,0,815
2013-09-10,0,2233
2013-09-11,0,2211
2013-09-12,0,1040
2013-09-13,0,1017
2013-09-14,0,416
2013-09-15,0,347
2013-09-16,0,1095
2013-09-17,0,936
2013-09-18,0,1214
2013-09-19,0,1389
2013-09-20,0,1440
2013-09-21,0,850
2013-09-22,0,857
2013-09-23,0,832
2013-09-24,0,905
2013-09-25,0,764
2013-09-26,0,618
2013-09-27,0,715
2013-09-28,0,337
2013-09-29,0,431
2013-09-30,0,1261
2013-10-01,0,1269
2013-10-02,0,955
2013-10-03,0,1257
2013-10-04,0,955
2013-10-05,0,481
2013-10-06,0,465
2013-10-07,0,1169
2013-10-08,0,927
2013-10-09,0,947
2013-10-10,0,1046
2013-10-11,0,922
2013-10-12,0,384
2013-10-13,0,628
2013-10-14,0,1216
2013-10-15,0,1217
2013-10-16,0,1087
2013-10-17,0,1007
2013-10-18,0,1044
2013-10-19,0,488
2013-10-20,0,557
2013-10-21,0,1637
2013-10-22,0,1161
2013-10-23,0,1656
2013-10-24,0,1302
2013-10-25,0,1005
2013-10-26,0,464
2013-10-27,0,553
2013-10-28,0,1027
2013-10-29,0,1104
2013-10-30,0,1179
2013-10-31,0,843
2013-11-01,0,425
2013-11-02,0,369
2013-11-03,0,452
2013-11-04,0,1503
2013-11-05,0,1175
2013-11-06,0,1184
2013-11-07,0,1099
2013-11-08,0,1137
2013-11-09,0,526
2013-11-10,0,410
2013-11-11,0,614
2013-11-12,0,1245
2013-11-13,0,1265
2013-11-14,0,1222
2013-11-15,0,992
2013-11-16,0,469
2013-11-17,0,612
2013-11-18,0,1232
2013-11-19,0,1287
2013-11-20,0,1554
2013-11-21,0,1488
2013-11-22,0,1502
2013-11-23,0,874
2013-11-24,0,602
2013-11-25,0,1362
2013-11-26,0,1624
2013-11-27,0,1456
2013-11-28,0,1320
2013-11-29,0,976
2013-11-30,0,573
2013-12-01,0,2507
2013-12-02,0,1880
2013-12-03,0,1188
2013-12-04,0,1336
2013-12-05,0,1164
2013-12-06,0,969
2013-12-07,0,493
2013-12-08,0,585
2013-12-09,0,1275
2013-12-10,0,2547
2013-12-11,0,2077
2013-12-12,0,1618
2013-12-13,0,1102
2013-12-14,0,552
2013-12-15,0,380
2013-12-16,0,1237
2013-12-17,0,1995
2013-12-18,0,960
2013-12-19,0,897
2013-12-20,0,1166
2013-12-21,0,619
2013-12-22,0,288
2013-12-23,0,497
2013-12-24,0,313
2013-12-25,0,170
2013-12-26,0,622
2013-12-27,0,2483
2013-12-28,0,2365
2013-12-29,0,3028
2013-12-30,0,1187
2013-12-31,0,1811
2014-01-01,0,2234
2014-01-02,0,2634
2014-01-03,0,3111
2014-01-04,0,1900
2014-01-05,0,2574
2014-01-06,0,2653
2014-01-07,0,3329
2014-01-08,0,2009
2014-01-09,0,3562
2014-01-10,0,1826
2014-01-11,0,2623
2014-01-12,0,1078
2014-01-13,0,1517
